Size of array |  Time of one thread sort, ms | Time of parallel sort, ms
94600 | 45271 | 13238
94700 | 45214 | 9813
94800 | 45656 | 10885
94900 | 44774 | 10167
95000 | 44275 | 10757
95100 | 45607 | 15119
95200 | 45415 | 14739
95300 | 45415 | 11649
95400 | 43072 | 11629
95500 | 46112 | 11082
95600 | 44511 | 10466
95700 | 44581 | 9771
95800 | 44604 | 11116
95900 | 45464 | 10435
96000 | 44918 | 10853
96100 | 45211 | 10573
96200 | 46844 | 10815
96300 | 45325 | 11083
96400 | 46304 | 16613
96500 | 47688 | 12299
96600 | 45815 | 10396
96700 | 46424 | 10667
96800 | 48707 | 11291
96900 | 47337 | 10572
97000 | 45110 | 10921
97100 | 46031 | 9765
97200 | 46535 | 9487
97300 | 46709 | 9699
97400 | 46967 | 11358
97500 | 47052 | 15093
97600 | 52025 | 11548
97700 | 46284 | 11646
97800 | 46176 | 10522
97900 | 47703 | 10823
98000 | 46024 | 10215
98100 | 47621 | 11298
98200 | 50142 | 11347
98300 | 46736 | 11625
98400 | 47878 | 10653
98500 | 48695 | 10464
98600 | 47762 | 10876
98700 | 46101 | 10938
98800 | 47544 | 10967
98900 | 46857 | 10720
99000 | 45910 | 10489
99100 | 47932 | 10886
99200 | 47865 | 15679
99300 | 49113 | 19704
99400 | 48956 | 11007
99500 | 47875 | 10359
99600 | 49582 | 12009
99700 | 48278 | 11250
99800 | 45930 | 11445
99900 | 48569 | 10857
100000 | 47320 | 11708
100100 | 47745 | 11168
100200 | 50488 | 10993
100300 | 46765 | 16414
100400 | 47256 | 15695
100500 | 47067 | 11841
100600 | 48101 | 11936
100700 | 46640 | 10754
100800 | 45706 | 11660
100900 | 48175 | 11226
101000 | 48501 | 12209
101100 | 46702 | 15221
101200 | 52286 | 15674
101300 | 50224 | 12301
101400 | 49212 | 12049
101500 | 47536 | 11580
101600 | 50459 | 11165
101700 | 49639 | 11258
101800 | 47472 | 11198
101900 | 50373 | 15486
102000 | 48989 | 15747
102100 | 49498 | 17261
102200 | 50806 | 10806
102300 | 49239 | 11441
102400 | 50888 | 11061
102500 | 48553 | 11169
102600 | 48784 | 16312
102700 | 70614 | 17550
102800 | 50899 | 12486
102900 | 49884 | 10194
103000 | 50911 | 11707
103100 | 49005 | 11035
103200 | 49042 | 11265
103300 | 49833 | 16221
103400 | 48205 | 16466
103500 | 48135 | 12650
103600 | 49654 | 12492
103700 | 48669 | 10931
103800 | 49838 | 11900
103900 | 50104 | 11490
104000 | 54269 | 19090
104100 | 50645 | 15060
104200 | 49524 | 12120
104300 | 50045 | 10953
104400 | 49874 | 11777
104500 | 49893 | 11440
104600 | 50551 | 11079
104700 | 50993 | 16103
104800 | 53760 | 16051
104900 | 49699 | 12224
105000 | 50748 | 12169
105100 | 51983 | 11989
105200 | 50098 | 11573
105300 | 51564 | 11866
105400 | 50023 | 10483
105500 | 49850 | 11010
105600 | 50720 | 10044
105700 | 50559 | 11680
105800 | 53201 | 16160
105900 | 56559 | 13014
106000 | 50665 | 12870
106100 | 50082 | 18044
106200 | 50217 | 11658
106300 | 50356 | 11943
106400 | 51995 | 11791
106500 | 50273 | 11509
106600 | 50202 | 11711
106700 | 52013 | 12247
106800 | 50831 | 11593
106900 | 50878 | 12400
107000 | 51650 | 11519
107100 | 50044 | 11186
107200 | 52049 | 10587
107300 | 51733 | 11982
